"ADDRESSMAIL","ADDRESSPHYSICAL","ALTERNATEDISTRICTNAME","ALTSCHOOLNAME","CHWEBURL","CITY","COUNTYNAME","DISTRICTCODE","DISTRICTNAME","GRADESERVEDRANGE","PRINEMAIL","PRINFIRSTNAME","PRINFULLNAME","PRINLASTNAME","PRINPHONE","PRINTITLE","REGION","SCHOOLCODE","SCHOOLEMAIL","SCHOOLFAX","SCHOOLNAME","SCHOOLPHONE","SCHOOLYEAR","SID","STATE","ZIP",
"","2600 Wheat Street","Richland County School District One","Hand Middle","https://www.richlandone.org/Domain/39","Columbia","Richland                                          ",4001,"Richland 01                                       ","6-8 SPED       ","patrice.green@richlandone.org","Patrice","field no longer used","Green","803-343-2947","Dr.","Midlands",039,"",8037336173,"Hand Middle                                       ",8033432947,2020,4001039,"SC",29205,
"","2055 South Pamplico Highway","Florence School District Two","Hannah Pamplico High School","http://hs.fsd2.org/","Pamplico","Florence                                          ",2102,"Florence 02                                       ","9-12 SPED      ","smosby@fsd2.org","Sterling J.","field no longer used","Mosby","843-493-5781","Mr.","Pee Dee",024,"",8434935424,"Hannah Pamplico High                              ",8434935781,2020,2102024,"SC",29583,
"","2131 South Pamplico Highway","Florence School District Two","Hannah-Pamplico Elementary and Middle","http://es.fsd2.org/","Pamplico","Florence                                          ",2102,"Florence 02                                       ","PK-8 SPED      ","lrichardson@fsd2.org","Legrande","field no longer used","Richardson","843-493-5588","Mr.","Pee Dee",028,"",8434935461,"Hannah-Pamplico Elem/Middle                       ",8434935588,2020,2102028,"SC",29583,
"","257 Crossbow Drive","School District Five of Lexington and Richland Cou","Harbison West Elementary School","https://www.lexrich5.org/hwes","Columbia","Lexington                                         ",3205,"Lexington 05                                      ","PK-5 SPED      ","rnorman@lexrich5.org","Randy","field no longer used","Norman","803-476-3800","Mr.","Midlands",048,"",8034763820,"Harbison West Elem                                ",8034763800,2020,3205048,"SC",29212,
"","1576 Harbor View Road","Charleston County School District","Harbor View Elementary","http://harborview.ccsdschools.com/","Charleston","Charleston                                        ",1001,"Charleston 01                                     ","PK-5 SPED      ","mark_connors@charleston.k12.sc.us","Mark","field no longer used","Connors","843-762-2749","Mr.","Trident",043,"",8437626207,"Harbor View Elem                                  ",8437622749,2020,1001043,"SC",29412,
"","150 Hurricane Alley","Jasper County School District","Hardeeville Elementary","http://hes.jcsd.net/","Hardeeville","Jasper                                            ",2701,"Jasper 01                                         ","PK-5 SPED          ","marlyn.westbrook@jcsd.net","Marlyn","field no longer used","Westbrook","843-310-1888","Dr.","Lowcountry",010,"",8437842165,"Hardeeville Elem                                  ",8433101888,2020,2701010,"SC",29927,
"","150 Hurricane Alley","Jasper County School District","Hardeeville-Ridgeland Middle","https://rms.jcsd.net/","Hardeeville","Jasper                                            ",2701,"Jasper 01                                         ","6-8 SPED           ","eugene.bellamy@jcsd.net","Eugene","field no longer used","Bellamy, Jr.","843-310-1898","Mr.","Lowcountry",012,"",8437842167,"Hardeeville-Ridgeland Middle                                  ",8433101898,2020,2701012,"SC",29927,
"","1650 East Main Street","Dorchester 4","Harleyville Elementary","http://hes.dorchester4.k12.sc.us/home.asp","Dorchester","Dorchester                                        ",1804,"Dorchester 04                                     ","PK-5 SPED      ","cjgreen@dd4.k12.sc.us","Chaquilla","field no longer used","Green","843-462-7671","Mrs.","Trident",016,"",8434627647,"Harleyville Elem                       ",8434627671,2020,1804016,"SC",29437,
"","1650 East Main Street","Dorchester 4","Harleyville-Ridgeville Middle","http://hrm.dorchester4.k12.sc.us/","Dorchester","Dorchester                                        ",1804,"Dorchester 04                                     ","6-8 SPED","cyates@dd4.k12.sc.us","Catherine","field no longer used","Yates","843-462-2470","Mrs.","Trident",022,"",8434627647,"Harleyville-Ridgeville Middle",8434622470,2020,1804022,"SC",29437,
"","400 East Jefferson Street","York School District One","Harold C. Johnson Elementary","http://www.york.k12.sc.us/hcj/","York","York                                              ",4601,"York 01                                           ","PK-4 SPED           ","crsandifer@york.k12.sc.us","Crystal","field no longer used","Sandifer","803-818-6040","Ms.","Catawba",049,"",8038186042,"Harold C. Johnson Elementary                      ",8038186040,2020,4601049,"SC",29745,
"","10251 Harrisburg Road","Lancaster County School District","Harrisburg Elementary","http://hes.lancastercsd.com","Indian Land","Lancaster                                         ",2901,"Lancaster 01                                      ","PK-5 SPED      ","teryn.dalton@lcsdmail.net","Teryn","","Dalton","803-283-8484","Mr.","",030,"",8033963761,"Harrisburg Elementary",8032838484,2020,2901030,"SC",29707,
"","701 Lewellyn Avenue","Darlington County School District","Hartsville High School","http://hhs.dcsdschools.org/","Hartsville","Darlington                                        ",1601,"Darlington 01                                     ","9-12 SPED","corey.lewis@darlington.k12.sc.us","Corey","field no longer used","Lewis","843-857-3700","Mr.","Pee Dee",005,"",8438573715,"Hartsville High                                   ",8438573700,2020,1601005,"SC",29550,
"","1427 Fourteenth Street","Darlington County School District","Hartsville Middle","http://hms.dcsdschools.org/","Hartsville","Darlington                                        ",1601,"Darlington 01                                     ","6-8 SPED       ","Brian.Hickman@darlington.k12.sc.us","Brian","field no longer used","Hickman","843-857-3121","Mr.","Pee Dee",004,"",8438574510,"Hartsville Middle                                 ",8438573121,2020,1601004,"SC",29550,
"","1861 Bohicket Road","Charleston County School District","Haut Gap Middle","http://hautgap.ccsdschools.com/","John's Island","Charleston                                        ",1001,"Charleston 01                                     ","5-8 SPED       ","travis_benintendo@charleston.k12.sc.us","Travis","field no longer used","Benintendo","843-559-6418","Mr.","Trident",044,"",8435596439,"Haut Gap Middle                                   ",8435596418,2020,1001044,"SC","29449-5501",
"P.O. Box 261966","2050 Highway 501 East, Bldg. 400","Horry County Schools","HCS Early College High School","http://ec.horrycountyschools.net/","Conway","Horry                                             ",2601,"Horry 01                                          ","9-12 SPED          ","kfleming@horrycountyschools.net","Kandi","field no longer used","Fleming","843-349-3131","Ms.","Waccamaw",064,"",8433472498,"HCS Early College High                          ",8433493131,2020,2601064,"SC",29528,
"","158 Solar Road","Lancaster County School District","Heath Springs Elementary","http://hses.lancastercsd.com","Heath Springs","Lancaster                                         ",2901,"Lancaster 01                                      ","PK-5 SPED           ","Sheri.Watson@lcsdmail.net","Sheri","field no longer used","Watson","803-273-3176","Ms.","Catawba",019,"",8032733717,"Heath Springs Elem                                ",8032733176,2020,2901019,"SC",29058,
"","1593 Hemingway Highway","Williamsburg County School District","Hemingway Career and Technology Center","https://www.wcsd.k12.sc.us/Domain/17","Hemingway","Williamsburg                                      ",4501,"Williamsburg 01                                   ","9-12 SPED  ","twilson@wcsd.k12.sc.us","Torrance","field no longer used","Wilson","843-558-5813","Mr.","Waccamaw",995,"",8433553213,"Hemingway Career/Technology                       ",8435585813,2020,4501995,"SC",29554,
"","160 Baxley Road","Williamsburg County School District","Hemingway Elementary","https://www.wcsd.k12.sc.us/Domain/15","Hemingway","Williamsburg                                      ",4501,"Williamsburg 01                                   ","PK-5 SPED           ","srmack@wcsd.k12.sc.us","Shaunta","field no longer used","Mack",8435584444,"Ms.","Waccamaw",024,"",8435553213,"Hemingway Elem                                    ",8433553213,2020,4501024,"SC",29554,
"","402 South Main Street","Williamsburg County School District","Hemingway High School","https://www.wcsd.k12.sc.us/Domain/9","Hemingway","Williamsburg                                      ",4501,"Williamsburg 01                                   ","9-12 SPED      ","trichardson@wcsd.k12.sc.us","Tara","field no longer used","Richardson","843-558-9413","Dr","Waccamaw",006,"",8433553213,"Hemingway High                                    ",8435589413,2020,4501006,"SC",29554,
"","400 South Main Street","Williamsburg County School District","Hemingway M.B. Lee Middle","https://www.wcsd.k12.sc.us/Domain/16","Hemingway","Williamsburg                                      ",4501,"Williamsburg 01                                   ","6-8 SPED           ","trichardson@wcsd.k12.sc.us","Tara","field no longer used","Richardson","843-558-2721","Dr.","Waccamaw",025,"",8433553213,"Hemingway MB Lee Middle                                  ",8435582721,2020,4501025,"SC",29554,
"","6089 Hendersonville Highway","Colleton School District","Hendersonville Elementary","http://hes.colletonsd.org/","Walterboro","Colleton                                          ",1501,"Colleton 01                                       ","PK-5 SPED           ","mglover@colleton.k12.sc.us","Marcella","field no longer used","Glover","843-782-0027","Mrs.","Lowcountry",021,"",8438447361,"Hendersonville Elem                               ",8437820027,2020,1501021,"SC",29488,
"","171 Macedonia Foxes Circle","Berkeley County School District","Henry E. Bonner Elementary","http://www.bcsdschools.net/hbe","Moncks Corner","Berkeley                                          ",0801,"Berkeley 01                                       ","PK-5 SPED           ","Willism@bcsdschools.net","Melissa","field no longer used","Willis","843-899-8950","Ms.","Trident",024,"",8438998928,"Henry E Bonner Elem                               ",8438998950,2020,0801024,"SC",29461,
"","1102 Ebenezer Road","Florence School District One","Henry L. Sneed Middle","https://www.f1s.org/Sneed","Florence","Florence                                          ",2101,"Florence 01                                       ","7-8 SPED       ","roates@fsd1.org ","Ronald","field no longer used","Oates","843-673-1199","Mr.","Pee Dee",050,"",8436796890,"Henry L. Sneed Middle                             ",8436731199,2020,2101050,"SC",29501,
"","1901 East Old Marion Highway","Florence School District One","Henry Timrod Elementary","https://www.f1s.org/Domain/23","Florence","Florence                                          ",2101,"Florence 01                                       ","K-6 SPED      ","michelle.mcbride@fsd1.org","Michelle","field no longer used","McBride","843-664-8454","Ms.","Pee Dee",020,"",8436648180,"Henry Timrod Elem                                 ",8436648454,2020,2101020,"SC",29506,
"","737 Pine Ridge Drive","Lexington District Two","Herbert A. Wood Elementary","http://wood.lex2.org","West Columbia","Lexington                                         ",3202,"Lexington 02                                      ","PK-5 SPED","lfrierson@lex2.org","Leonard","field no longer used","Frierson","803-755-7420","Mr.","Midlands",027,"",8037557447,"Herbert A. Woods Elementary",8037557420,2020,3202027,"SC",29172,
"","1592 Greer Highway","The School District of Greenville County","Heritage Elementary","https://www.greenville.k12.sc.us/heritage/","Travelers Rest","Greenville                                        ",2301,"Greenville 01                                     ","PK-5 SPED      ","hhester@greenville.k12.sc.us","Heather","field no longer used","Hester","864-355-6000","Ms.","Greenville",107,"",8643556046,"Heritage Elem                                     ",8643556000,2020,2301107,"SC",29690,
"","500 Summerlea Drive","Richland County School District One","Heyward Gibbes Middle","https://www.richlandone.org/Domain/38","Columbia","Richland                                          ",4001,"Richland 01                                       ","6-8 SPED       ","Ron.Webb@richlandone.org","Ron","field no longer used","Webb","803-343-2942","Mr.","Midlands",037,"",8037333040,"Gibbes Middle                                     ",8033432942,2020,4001037,"SC",29203,
"","4901 Hickory Grove Road","York School District One","Hickory Grove-Sharon Elementary","http://www.york.k12.sc.us/hgs/","Hickory Grove","York                                              ",4601,"York 01                                           ","PK-6 SPED      ","rdover@york.k12.sc.us","Rebeccca","field no longer used","Dover","803-925-2116","Ms.","Catawba",045,"",8039252218,"Hickory Grove-Sharon Elem                         ",8039252116,2020,4601045,"SC",29717,
"","163 Neely Ferry Road","Laurens County School District No. 55","Hickory Tavern Elementary/Middle","http://www.htem.org/","Gray Court","Laurens                                           ",3055,"Laurens 55                                        ","PK-8 SPED           ","baddy@laurens55.org","Brandon","","Addy","864-575-2126","Mrs.","",017,"",8645753428,"Hickory Tavern Ele/Mid",8645752126,2020,3055017,"SC",29645,
"","4971 Frierson Road","Sumter","High Hills Elementary","http://hhes.sumterschools.net/","Shaw Air Force Base","Sumter                                            ",4301,"Sumter 01                                         ","4-5 SPED       ","marykay.norton@sumterschools.net","Mary Kay ","field no longer used","Norton","803-499-3327","Dr.","Santee Lynches",012,"",8034999553,"High Hills Elementary                             ",8034993327,2020,4301012,"SC",29152,
"","6655 Pottery Road","SC Public School Charter District","High Point Academy","https://www.hpaspartanburg.com/","Spartanburg","SC Public Chart                                   ",4701,"SC Public Charter School District                 ","K-12 SPED","bbricker@hpaspart.org   ","Brodie","","Bricker","864-316-9788","Dr.","",034,"",8643088785,"High Point Academy",8643169788,2020,4701034,"SC",29303,
"","3665 South Industrial Drive","The School District of Greenville County","Hillcrest High School","https://www.greenville.k12.sc.us/hillcrest/","Simpsonville","Greenville                                        ",2301,"Greenville 01                                     ","9-12 SPED      ","gskipper@greenville.k12.sc.us","Bryan","field no longer used","Skipper","864-355-3500","Dr.","Greenville",012,"",8643553382,"Hillcrest High                                    ",8643553500,2020,2301012,"SC",29681,
"","510 Garrison Road","The School District of Greenville County","Hillcrest Middle","https://www.greenville.k12.sc.us/hms/","Simpsonville","Greenville                                        ",2301,"Greenville 01                                     ","6-8 SPED       ","wcprice@greenville.k12.sc.us","William","field no longer used","Price","864-355-6100","Mr.","Greenville",011,"",8643556120,"Hillcrest Middle                                  ",8643556100,2020,2301011,"SC",29681,
"","4355 Peach Orchard Road","Sumter","Hillcrest Middle","http://hms.sumterschools.net/","Dalzell","Sumter                                            ",4301,"Sumter 01                                         ","6-8 SPED       ","tarsha.staggers@sumterschools.net","Tarsha","field no longer used","Staggers","803-499-3341","Mrs.","Santee Lynches",004,"",8034993353,"Hillcrest Middle                                  ",8034993341,2020,4301004,"SC",29040,
"","165 Pembroke Drive","Beaufort County School District","Hilton Head Island Early Childhood Center","http://hhiecc.beaufortschools.net/","Hilton Head Island","Beaufort                                          ",0701,"Beaufort 01                                       ","PK-K SPED          ","kim.bratt@beaufort.k12.sc.us","Kim","field no longer used","Bratt","843-689-0400","Ms.","Lowcountry",031,"",8436890550,"Hilton Head Is. Early Childhood                       ",8436890400,2020,0701031,"SC",29926,
"","30 School Road","Beaufort County School District","Hilton Head Island Elementary","http://hhie.beaufortschools.net/","Hilton Head Island","Beaufort                                          ",0701,"Beaufort 01                                       ","1-5 SPED            ","Sarah.Owens@beaufort.k12.sc.us","Sarah L.","field no longer used","Owens","843-342-4100","Ms.","Lowcountry",033,"",8433424299,"Hilton Head Is. Elem",8433424100,2020,0701033,"SC",29926,
"","70 Wilborn Road","Beaufort County School District","Hilton Head Island High School","http://hhihs.beaufortschools.net/","Hilton Head Island","Beaufort                                          ",0701,"Beaufort 01                                       ","9-12 SPED      ","steven.schidrich@beaufort.k12.sc.us","Steve","field no longer used","Scidrich","843-689-4800","Mr.","Lowcountry",003,"",8436894947,"Hilton Head Is. High                                  ",8436894800,2020,0701003,"SC",29926,
"","55 Wilborn Road","Beaufort County School District","Hilton Head Island Middle","http://hhims.beaufortschools.net/","Hilton Head Island","Beaufort                                          ",0701,"Beaufort 01                                       ","6-8 SPED       ","patricia.freda@beaufort.k12.sc.us","Patricia","field no longer used","Freda","843-689-4500","Ms.","Lowcountry",009,"",8436894624,"Hilton Head Is. Middle                                ",8436894500,2020,0701009,"SC",29926,
"","10 Bus Drive","Beaufort County School District","Hilton Head Island School for the Creative Arts","http://hhisca.beaufortschools.net/","Hilton Head Island","Beaufort                                          ",0701,"Beaufort 01                                       ","PK-5 SPED          ","Gretchen.Keefner@beaufort.k12.sc.us","Gretchen","field no longer used","Keefner","843-342-4380","Ms.","Lowcountry",032,"",8436897455,"Hilton Head Is. School for the Creative Arts                    ",8433424380,2020,0701032,"SC",29926,
"","4717 Main Street","Greenwood School District 50","Hodges Elementary","https://www.gwd50.org/Domain/886","Hodges","Greenwood                                         ",2450,"Greenwood 50                                      ","K-5 SPED           ","goodwinl@gwd50.org","Latasha","field no longer used","Goodwin","864-374-5000","Mrs.","Upper Savannah",016,"buchanans@gwd50.org",8643475028,"Hodges Elem                                       ",8643745000,2020,2450016,"SC",29653,
"","200 Goodrich Street","The School District of Greenville County","Hollis Academy","https://www.greenville.k12.sc.us/hollise/","Greenville","Greenville                                        ",2301,"Greenville 01                                     ","PK-5 SPED      ","mgolden@greenville.k12.sc.us","Miki","field no longer used","Golden, Jr.","864-355-4800","Mr.","Greenville",061,"",8643554826,"Hollis Academy                                    ",8643554800,2020,2301061,"SC",29611,
"","1490 Brant Avenue","Orangeburg County School District","Holly Hill Elementary","http://hhes.obg3.k12.sc.us","Holly Hill","Orangeburg                                        ",3809,"Orangeburg County School District","PK-5 SPED      ","wilsonsh@obg3.k12.sc.us","Sharon","","Wilson","803-496-3464","Ms.","",019,"","803-496-3526","Holly Hill Elementary","803-496-3464",2020,3809019,"SC",29059,
"","530 Hesseman Street","Orangeburg County School District","Holly Hill-Roberts Middle","http://hhrms.obg3.k12.sc.us","Holly Hill","Orangeburg                                        ",3809,"Orangeburg County School District","6-8 SPED       ","hembyr@org3.k12.sc.us","Robert","","Hemby","803-496-3818","Mr.","",018,"","803-496-9765","Holly Hill-Roberts Middle","803-496-3818",2020,3809018,"SC",29059,
"","325 Motlow School Road","District One Schools Spartanburg County","Holly Springs-Motlow Elementary","http://www.spart1.org/hollysprings-motlowelementary_home.aspx","Campobello","Spartanburg                                       ",4201,"Spartanburg 01                                    ","PK-6 SPED      ","erika.center@spart1.org","Erika ","field no longer used","Center","864-472-8120","Mrs.","Upstate",009,"",8648950620,"Holly Spgs Motlow Elem                            ",8644728120,2020,4201009,"SC",29322,
"","1261 Hollywood Road","Saluda School District One","Hollywood Elementary","http://hes.saluda.schooldesk.net","Saluda","Saluda                                            ",4101,"Saluda 01                                         ","PK-5 SPED          ","jthomas@saludaschools.org ","Jennifer","field no longer used","Thomas","864-445-8333","Mrs.","Upper Savannah",010,"",8644453518,"Hollywood Elem                                    ",8644458333,2020,4101010,"SC",29138,
"","3519 Wilmont Street","Anderson School District Five","Homeland Park Primary","http://www.anderson5.net/Domain/11","Anderson","Anderson                                          ",0405,"Anderson 05                                       ","PK-2 SPED       ","garybruhjell@anderson5.net","Gary","field no longer used","Bruhjell","864-260-5125","Mr.","Pendleton",047,"",8643752042,"Homeland Park Primary                                ",8642605125,2020,0405047,"SC",29624,
"","108 North Clemson Circle","Horry County Schools","Homewood Elementary","http://hwe.horrycountyschools.net/","Conway","Horry                                             ",2601,"Horry 01                                          ","PK-5 SPED      ","pfoye@horrycountyschools.net","Penny","field no longer used","Foye","843-365-2512","Mrs.","Waccamaw",025,"",8433657211,"Homewood Elem                                     ",8433652512,2020,2601025,"SC",29526,
"","806 East Greer Street","Anderson School District Two","Honea Path Elementary","http://hpe.anderson2.org/","Honea Path","Anderson                                          ",0402,"Anderson 02                                       ","PK-5 SPED       ","jsauceman@asd2.org","Jeremy","field no longer used","Sauceman","864-369-7612","Mr.","Pendleton",018,"",8643694030,"Honea Path Elem                                   ",8643697612,2020,0402018,"SC",29654,
"","107 Brock Avenue","Anderson School District Two","Honea Path Middle","http://hpms.anderson2.org/","Honea Path","Anderson                                          ",0402,"Anderson 02                                       ","6-8 SPED       ","mschult@asd2.org","Matt","field no longer used","Schult","864-369-7641","Mr.","Pendleton",019,"",8643694034,"Honea Path Middle                                 ",8643697641,2020,0402019,"SC",29654,
"","6120 Cabin Creek Road","Richland County School District One","Hopkins Elementary","https://www.richlandone.org/Domain/19","Hopkins","Richland                                          ",4001,"Richland 01                                       ","PK-5 SPED      ","audrey.white@richlandone.org","Audrey","field no longer used","White-Garner","803-783-5541","Ms.","Midlands",040,"",8037835569,"Hopkins Elem                                      ",8037835541,2020,4001040,"SC",29061,
"","1601 Clarkson Road","Richland County School District One","Hopkins Middle","https://www.richlandone.org/Domain/40","Hopkins","Richland                                          ",4001,"Richland 01                                       ","6-8 SPED       ","bobbie.hartwell@richlandone.org","Bobbie","field no longer used","Hartwell","803-695-3331","Mr.","Midlands",010,"",8036953220,"Hopkins Middle                                    ",8036953331,2020,4001010,"SC",29061,
"","517 Horrell Hill Road","Richland County School District One","Horrell Hill Elementary","https://www.richlandone.org/Domain/20","Hopkins","Richland                                          ",4001,"Richland 01                                       ","PK-5 SPED      ","parthenia.satterwhit@richlandone.org","Parthenia","field no longer used","Satterwhite","803-783-5545","Ms.","Midlands",041,"",8037835593,"Horrell Hill Elem                                 ",8037835545,2020,4001041,"SC",29061,
"","1200 Toolebeck Road","Aiken County Public Schools","Horse Creek Academy","http://www.HCACS.net","Aiken","Aiken                                             ",0201,"Aiken 01                                          ","PK-8 SPED           ","ataylor@hcacs.net ","Ann Marie","field no longer used","Taylor","803-226-0160","Dr.","Lower Savannah",602,"",8032260202,"Horse Creek Academy                 ",8032260160,2020,0201602,"SC",29803,
"","115 Howe Hall Road","Berkeley County School District","Howe Hall AIMS Elementary","http://www.bcsdschools.net/hha","Goose Creek","Berkeley                                          ",0801,"Berkeley 01                                       ","K-5 SPED           ","swetckiec@bcsdschools.net","Chris","field no longer used","Swetckie","843-820-3899","Mr.","Trident",036,"",8438205428,"Howe Hall AIMS Elem                              ",8438203899,2020,0801036,"SC",29445,
"","122 DeOyley Avenue","The School District of Greenville County","Hughes Academy of Science and Technology","https://www.greenville.k12.sc.us/hughes/","Greenville","Greenville                                        ",2301,"Greenville 01                                     ","6-8 SPED       ","jfinlay@greenville.k12.sc.us","Jordan","field no longer used","Finlay","864-355-6200","Mr.","Greenville",062,"",8643556275,"Hughes Academy                                    ",8643556200,2020,2301062,"SC",29605,
"","1000 Michigan Avenue","Charleston County School District","Hunley Park Elementary","http://hunleypark.ccsdschools.com/","North Charleston","Charleston                                        ",1001,"Charleston 01                                     ","PK-5 SPED      ","michael_griggs@charleston.k12.sc.us","Michael","field no longer used","Griggs","843-767-5914","Dr.","Trident",046,"",8437675932,"Hunley Park Elem                                  ",8437675914,2020,1001046,"SC",29456,
"","420 Hunt Road","Anderson School District One","Hunt Meadows Elementary","http://www.anderson1.k12.sc.us/Domain/262","Easley","Anderson                                          ",0401,"Anderson 01                                       ","PK-5 SPED      ","penningtont@apps.anderson1.org","Carrie","field no longer used","Pennington","864-850-3987","Mrs.","Pendleton",014,"",8648503810,"Hunt Meadows Elem                                 ",8648503987,2020,0401014,"SC",29642,
"","1100 Hunter Street","York School District One","Hunter Street Elementary","http://www.york.k12.sc.us/hss/","York","York                                              ",4601,"York 01                                           ","PK-4 SPED      ","jwallace@york.k12.sc.us","Jane","field no longer used","Wallace","803-684-1926","Ms.","Catawba",046,"",8036841931,"Hunter Street Elem                                ",8036841926,2020,4601046,"SC",29745,
"","7066 Norway Road","Orangeburg County School District","Hunter-Kinard-Tyler Elementary","https://www.ocsd4sc.net/Domain/14","Neese","Orangeburg                                        ",3809,"Orangeburg County School District","PK-5 SPED      ","gloria.jenkins@ocsd4sc.net","Gloria","","Jenkins","803-263-4441","Mr.","",055,"","803-263-4404","Hunter-Kinard-Tyler Elementary","803-263-4441",2020,3809055,"SC",29107,
"","7066 Norway Road","Orangeburg County School District","Hunter-Kinard-Tyler High School","https://www.ocsd4sc.net/Domain/15","Neese","Orangeburg                                        ",3809,"Orangeburg County School District","6-12 SPED","deneathra.butler@ocsd4sc.net","Deneathra","","Butler","803-263-4832","Ms.","",054,"","803-263-4467","Hunter-Kinard-Tyler High School","803-263-4832",2020,3809054,"SC",29107,
"","4200 Main Street","Richland County School District One","Hyatt Park Elementary","https://www.richlandone.org/Domain/21://hyattpark.richlandone.org/","Columbia","Richland                                          ",4001,"Richland 01                                       ","PK-5 SPED      ","lindell.brabham@richlandone.org","Lindell","field no longer used","Brabham","803-735-3421","Ms.","Midlands",042,"",8037353391,"Hyatt Park Elem                                   ",8037353421,2020,4001042,"SC",29203,
"","132 West Springdale Road","Rock Hill School District Three of York County","Independence Elementary","https://www.rock-hill.k12.sc.us/Domain/13","Rock Hill","York                                              ",4603,"York 03                                           ","PK-5 SPED      ","kcodom@rhmail.org","Kimberly","field no longer used","Odom","803-981-1135","Ms.","Catawba",036,"",8039802010,"Independence Elem                                 ",8039811135,2020,4603036,"SC",29730,
"","2068 Yukon Drive","Rock Hill School District Three of York County","India Hook Elementary","https://www.rock-hill.k12.sc.us/Domain/14","Rock Hill","York                                              ",4603,"York 03                                           ","K-5 SPED       ","crooda@rhmail.org","Christopher","field no longer used","Roorda","803-985-1600","Mr.","Catawba",039,"",8039851620,"India Hook Elem                                   ",8039851600,2020,4603039,"SC",29732,
"","4137 Doby's Bridge Road","Lancaster County School District","Indian Land Elementary","http://iles.lancastercsd.com","Indian Land","Lancaster                                         ",2901,"Lancaster 01                                      ","K-5 SPED          ","Keisha.Witherspoon@lcsdmail.net","Keisha","field no longer used","Witherspoon","803-548-2916","Ms.","Catawba",021,"",8035483011,"Indian Land Elem                                  ",8035482916,2020,2901021,"SC",29707,
"","8063 River Road","Lancaster County School District","Indian Land High School","http://ilhs.lancastercsd.com","Indian Land","Lancaster                                         ",2901,"Lancaster 01                                      ","9-12 SPED          ","David.Shamble@lcsdmail.net","David","field no longer used","Shamble","803-547-7571","Mr.","Catawba",006,"",8035477366,"Indian Land High                                  ",8035477571,2020,2901006,"SC",29707,
"","8361 Charlotte Highway","Lancaster County School District","Indian Land Middle","http://ilms.lancastercsd.com","Indian Land","Lancaster                                         ",2901,"Lancaster 01                                      ","6-8 SPED           ","chris.thorpe@lcsdmail.net","Chris","field no longer used","Thorpe","803-578-2500","Mr.","Catawba",029,"",8035782549,"Indian Land Middle                                ",8035782500,2020,2901029,"SC",29707,
"","25 Oakland Avenue","District One Schools Spartanburg County","Inman Elementary","http://www.spart1.org/inmanelementary_home.aspx","Inman","Spartanburg                                       ",4201,"Spartanburg 01                                    ","PK-3 SPED      ","john.hodge@spart1.org","John","field no longer used","Hodge","864-472-8403","Mr.","Upstate",010,"",8644727839,"Inman Elem                                        ",8644728403,2020,4201010,"SC",29349,
"","10 West Miller Street","District One Schools Spartanburg County","Inman Intermediate","http://www.spart1.org/inmanelementary_home.aspx","Inman","Spartanburg                                       ",4201,"Spartanburg 01                                    ","4-6 SPED           ","karen.bush@spart1.org","Karen","field no longer used","Bush","864-472-1510","Ms.","Upstate",088,"",8644721511,"Inman Intermediate                                ",8644721510,2020,4201088,"SC",29349,
"","175 Campus Drive","Cherokee County School District","Institute of Innovation","https://ctc.cherokee1.org/","Gaffney","Cherokee                                          ",1101,"Cherokee 01                                       ","9-12 SPED           ","Heath.Roberts@cherokee1.org","Heath","field no longer used","Roberts","864-206-2576","Mr.","Upstate",995,"",8644871287,"Institute of Innovation                  ",8642062576,2020,1101995,"SC",29341,
"","7401 Gibbes Street","School District Five of Lexington and Richland Cou","Irmo Elementary","https://www.lexrich5.org/ies","Irmo","Lexington                                         ",3205,"Lexington 05                                      ","PK-5 SPED       ","smwiley@lexrich5.org","Shannon","field no longer used","Wiley","803-476-4200","Ms.","Midlands",043,"",8034764220,"Irmo Elem                                         ",8034764200,2020,3205043,"SC",29063,
"","6671 St. Andrews Road","School District Five of Lexington and Richland Cou","Irmo High School","https://www.lexrich5.org/ihs","Columbia","Lexington                                         ",3205,"Lexington 05                                      ","9-12 SPED      ","rlhardy@lexrich5.org","Robin","field no longer used","Hardy",8034763000,"Dr.","Midlands",039,"",8034763020,"Irmo High                                         ",8034763000,2020,3205039,"SC",29212,
"","6051 Wescott Road","School District Five of Lexington and Richland Cou","Irmo Middle","https://www.lexrich5.org/ims","Columbia","Lexington                                         ",3205,"Lexington 05                                      ","6-8 SPED       ","cpaschal@lexrich5.org","Cassy","field no longer used","Paschal","803-476-3600","Mrs..","Midlands",040,"",8034763620,"Irmo Middle                                       ",8034763600,2020,3205040,"SC",29212,
"","803 Antreville Highway","Anderson School District Three","Iva Elementary","http://www.acsd3.org/o/iva-elementary-school","Iva","Anderson                                          ",0403,"Anderson 03                                       ","PK-5 SPED         ","crawfordd@acsd3.org","Daniel","field no longer used","Crawford","864-348-6400","Mr.","Pendleton",024,"",8643487071,"Iva Elem                                          ",8643486400,2020,0403024,"SC",29655,
"P.O. Box 140","124 Hicks Road","Florence County School District Three","J. C. Lynch Elementary","http://www.jcles.florence3.k12.sc.us/","Coward","Florence                                          ",2103,"Florence 03                                       ","PK-6 SPED      ","atanner@fsd3.org","Angela","field no longer used","Tanner","843-389-3323","Ms.","Pee Dee",036,"",8433893322,"J C Lynch Elem                                    ",8433893323,2020,2103036,"SC",29530,
